Vertice,Grau
0,23
1,1
2,100
3,30
4,4
5,1
6,30
7,30
8,10
9,1
10,66
11,9
12,25
13,29
14,7
15,30
16,30
17,6
18,14
19,6
20,4
21,6
22,40
23,4
24,19
25,29
26,7
27,1
28,6
29,4
30,5
31,11
32,15
33,25
34,50
35,15
36,11
37,5
38,5
39,20
40,6
41,30
42,7
43,12
44,11
45,39
46,9
47,9
48,14
49,26
50,17
51,9
52,14
53,20
54,29
55,10
56,9
57,4
58,1
59,30
60,2
61,1
62,1
63,10
64,4
65,29
66,7
67,1
68,11
69,9
70,6
71,44
72,4
73,5
74,7
75,15
76,50
77,1
78,2
79,5
80,6
81,29
82,3
83,4
84,30
85,2
86,9
87,10
88,8
89,29
90,37
91,30
92,13
93,29
94,1
95,35
96,29
97,2
98,30
99,11
100,20
101,2
102,30
103,9
104,11
105,11
106,14
107,13
108,8
109,10
110,13
111,29
112,15
113,3
114,10
115,49
116,14
117,14
118,14
119,2
120,2
121,8
122,23
123,11
124,3
125,11
126,29
127,8
128,1
129,14
130,7
131,2
132,6
133,5
134,29
135,30
136,4
137,63
138,11
139,49
140,11
141,22
142,2
143,18
144,14
145,1
146,2
147,11
148,66
149,30
150,1
151,8
152,12
153,8
154,6
155,24
156,1
157,8
158,14
159,3
160,43
161,29
162,11
163,41
164,29
165,5
166,24
167,65
168,11
169,1
170,7
171,11
172,63
173,6
174,49
175,4
176,30
177,30
178,18
179,15
180,17
181,14
182,6
183,16
184,3
185,9
186,11
187,2
188,6
189,1
190,4
191,8
192,30
193,10
194,14
195,3
196,41
197,99
198,12
199,14
200,21
201,6
202,6
203,2
204,10
205,4
206,17
207,10
208,18
209,40
210,8
211,29
212,49
213,33
214,10
215,2
216,7
217,18
218,2
219,4
220,1
221,1
222,49
223,15
224,10
225,7
226,2
227,2
228,2
229,48
230,30
231,5
232,29
233,30
234,2
235,30
236,17
237,2
238,11
239,30
240,49
241,30
242,11
243,1
244,77
245,30
246,9
247,14
248,2
249,29
250,23
251,10
252,30
253,20
254,5
255,23
256,30
257,12
258,19
259,13
260,13
261,11
262,5
263,19
264,8
265,6
266,20
267,8
268,97
269,8
270,7
271,10
272,16
273,38
274,6
275,20
276,4
277,6
278,30
279,16
280,16
281,16
282,1
283,2
284,6
285,9
286,30
287,10
288,11
289,66
290,5
291,4
292,8
293,44
294,2
295,4
296,15
297,11
298,41
299,2
300,14
301,11
302,4
303,41
304,10
305,30
306,55
307,18
308,33
309,8
310,2
311,20
312,10
313,25
314,2
315,5
316,30
317,2
318,15
319,6
320,10
321,30
322,19
323,15
324,15
325,36
326,10
327,9
328,21
329,42
330,23
331,30
332,3
333,30
334,30
335,2
336,30
337,3
338,3
339,49
340,16
341,9
342,8
343,12
344,15
345,8
346,2
347,79
348,3
349,8
350,29
351,12
352,46
353,4
354,30
355,1
356,38
357,11
358,2
359,30
360,3
361,4
362,11
363,8
364,29
365,17
366,30
367,30
368,29
369,12
370,1
371,30
372,2
373,1
374,26
375,11
376,19
377,16
378,19
379,2
380,10
381,14
382,84
383,29
384,41
385,11
386,2
387,66
388,1
389,44
390,4
391,9
392,6
393,66
394,1
395,4
396,11
397,9
398,1
399,9
400,9
401,8
402,1
403,2
404,2
405,26
406,11
407,9
408,6
409,8
410,7
411,4
412,6
413,3
414,30
415,10
416,1
417,15
418,6
419,97
420,23
421,2
422,29
423,14
424,6
425,1
426,2
427,11
428,4
429,21
430,2
431,66
432,29
433,4
434,2
435,11
436,22
437,48
438,7
439,29
440,11
441,17
442,30
443,1
444,14
445,11
446,6
447,11
448,6
449,11
450,2
451,7
452,41
453,23
454,29
455,49
456,3
457,14
458,10
459,51
460,30
461,30
462,3
463,7
464,6
465,6
466,21
467,14
468,14
469,6
470,11
471,10
472,29
473,30
474,9
475,21
476,29
477,26
478,5
479,15
480,11
481,8
482,6
483,29
484,1
485,49
486,11
487,6
488,16
489,8
490,7
491,1
492,11
493,2
494,3
495,8
496,30
497,29
498,11
499,3
500,13
501,4
502,7
503,30
504,11
505,4
506,1
507,2
508,31
509,11
510,8
511,15
512,15
513,22
514,29
515,22
516,6
517,5
518,6
519,31
520,10
521,7
522,29
523,13
524,4
525,12
526,4
527,2
528,3
529,12
530,24
531,14
532,10
533,29
534,25
535,41
536,6
537,14
538,29
539,9
540,222
541,45
542,29
543,2
544,4
545,1
546,7
547,23
548,2
549,1
550,33
551,2
552,76
553,4
554,7
555,38
556,10
557,3
558,8
559,3
560,17
561,66
562,29
563,7
564,29
565,47
566,29
567,29
568,5
569,7
570,1
571,17
572,4
573,30
574,6
575,19
576,3
577,1
578,19
579,1435
580,5
581,1
582,6
583,4
584,1
585,30
586,5
587,63
588,8
589,1
590,49
591,11
592,10
593,10
594,5
595,7
596,2
597,1
598,11
599,6
600,9
601,7
602,42
603,11
604,5
605,2
606,29
607,19
608,49
609,30
610,1
611,29
612,13
613,13
614,49
615,9
616,29
617,3
618,7
619,18
620,49
621,8
622,7
623,76
624,30
625,8
626,29
627,66
628,63
629,8
630,24
631,45
632,30
633,5
634,66
635,8
636,5
637,51
638,24
639,4
640,1
641,3
642,1
643,50
644,29
645,11
646,17
647,3
648,66
649,11
650,223
651,30
652,49
653,7
654,12
655,11
656,11
657,10
658,63
659,29
660,49
661,4
662,2
663,11
